,missing,missing_%
video_id,0,0.0
video_published_at,0,0.0
video_trending__date,0,0.0
video_trending_country,0,0.0
video_title,0,0.0
video_category_id,298,0.07
video_tags,103169,22.94
video_duration,0,0.0
video_definition,0,0.0
video_licensed_content,0,0.0
video_view_count,5,0.0
video_like_count,5647,1.26
video_comment_count,1371,0.3
channel_title,0,0.0
channel_subscriber_count,0,0.0
