,video_view_count,video_like_count,video_comment_count,log_views,like_rate,comment_rate,engagement_rate,duration_min,first_days_to_trend,title_length,tag_count,channel_subscriber_count,countries_trended
video_view_count,1.0,0.8291336637120359,0.2993435710703445,0.5500519308378103,-0.06116558403585717,-0.07430088995730555,-0.068458479687657,-0.09374794445034298,0.20422556692310848,-0.026036421620837906,-0.09967331414323101,0.17460407281500057,0.15159510749369795
video_like_count,0.8291336637120359,1.0,0.34883355705187913,0.5109501872655742,0.0659740672962855,-0.052617815192768584,0.05139162930412973,-0.0902251594947774,0.19706959498253684,-0.07845757117374651,-0.11465872108313732,0.14148998816530386,0.1226330040354883
video_comment_count,0.2993435710703445,0.34883355705187913,1.0,0.24183142377398587,0.05356348344837749,0.11155750265563043,0.06781127911665537,-0.04759070302321975,0.006117346481562135,-0.0018031648615728605,0.015476878819638367,0.16105554732245,0.1015377327565403
log_views,0.5500519308378103,0.5109501872655742,0.24183142377398587,1.0,-0.23311304585697296,-0.23021334362711698,-0.25195233512278653,-0.1513469633474647,0.20282303854926573,-0.017412552307764423,-0.08205641751452075,0.28677211303344763,0.17498329428318773
like_rate,-0.06116558403585717,0.0659740672962855,0.05356348344837749,-0.23311304585697296,1.0,0.4411296498506394,0.9884187931854829,-0.04318692584159478,-0.09015147224894648,-0.21934176809131223,-0.020623803749143105,-0.08510654292793353,-0.030506592126215502
comment_rate,-0.07430088995730555,-0.052617815192768584,0.11155750265563043,-0.23021334362711698,0.4411296498506394,1.0,0.5722085406249634,-0.07552766068740814,-0.07785560658193104,-0.06425396894553567,0.026554569356985847,-0.05770381366341842,-0.021795657462196655
engagement_rate,-0.068458479687657,0.05139162930412973,0.06781127911665537,-0.25195233512278653,0.9884187931854829,0.5722085406249634,1.0,-0.0522365307088285,-0.09554764717695131,-0.21130531842733177,-0.014356419686488488,-0.08752994108101209,-0.031563230302337195
duration_min,-0.09374794445034298,-0.0902251594947774,-0.04759070302321975,-0.1513469633474647,-0.04318692584159478,-0.07552766068740814,-0.0522365307088285,1.0,-0.0939106301208859,-0.008001921208249092,0.01472738960479018,-0.10486699630768505,0.02002632833854609
first_days_to_trend,0.20422556692310848,0.19706959498253684,0.006117346481562135,0.20282303854926573,-0.09015147224894648,-0.07785560658193104,-0.09554764717695131,-0.0939106301208859,1.0,-0.0007676195664023228,-0.046541768328046344,-0.0044288358027387365,-0.022056014843791785
title_length,-0.026036421620837906,-0.07845757117374651,-0.0018031648615728605,-0.017412552307764423,-0.21934176809131223,-0.06425396894553567,-0.21130531842733177,-0.008001921208249092,-0.0007676195664023228,1.0,0.11209740898607125,0.06473276483803267,-0.14778159140735045
tag_count,-0.09967331414323101,-0.11465872108313732,0.015476878819638367,-0.08205641751452075,-0.020623803749143105,0.026554569356985847,-0.014356419686488488,0.01472738960479018,-0.046541768328046344,0.11209740898607125,1.0,0.09053458714963986,-0.0034436657280559266
channel_subscriber_count,0.17460407281500057,0.14148998816530386,0.16105554732245,0.28677211303344763,-0.08510654292793353,-0.05770381366341842,-0.08752994108101209,-0.10486699630768505,-0.0044288358027387365,0.06473276483803267,0.09053458714963986,1.0,-0.015358448619939225
countries_trended,0.15159510749369795,0.1226330040354883,0.1015377327565403,0.17498329428318773,-0.030506592126215502,-0.021795657462196655,-0.031563230302337195,0.02002632833854609,-0.022056014843791785,-0.14778159140735045,-0.0034436657280559266,-0.015358448619939225,1.0
